55.9500,-3.2000,gridpp-ps-band.ecdf.ed.ac.uk,throughput
40.4086,-3.6922,perfsonar02.ft.uam.es,throughput
44.35,26.03,perfsonar1.nipne.ro,throughput
50.1242989,14.4685564,ps100.farm.particle.cz,throughput
37.5,15.152,perfsonar-l.ct.infn.it,latency
59.881592,29.826138,alice14.spbu.ru,latency
62,15,perfsonar-ps.ndgf.org,latency
44.4333,26.1000,perfsonar-bandwidth.grid.pub.ro,throughput
51.426812,-0.552255,perfson1.ppgrid1.rhul.ac.uk,both
18.906717,72.805160,repos1.indiacms.res.in,throughput
55.7485,37.6184,psum02.itep.ru,latency
42.3451,-71.0993,atlas-npt2.bu.edu,both
42.877474,-8.558310,perfsonar-ps-bandwidth.igfae.usc.es,throughput
46.024379,8.960050,perfsonar.cscs.ch,neither
-23.561566,-46.7353522,sampaps01.if.usp.br,both
53.577355,9.877352,perfsonar-ps-02.desy.de,throughput
44.348825,26.030870,lhcb-perf.nipne.ro,throughput
51.7500,-1.2500,t2ps-latency2.physics.ox.ac.uk,latency
39.5149,-0.4255,psific01.ific.uv.es,latency
55.796817,37.477491,btw-lat.grid.kiae.ru,latency
45.9215,6.1605,lapp-ps01.in2p3.fr,throughput
39.8766,32.7620,ps2.truba.gov.tr,both
37.7510,-97.8220,perfsonar.ultralight.org,both
56.7333,37.1667,t2-pfsn1.jinr.ru,both
39.9289,116.3883,perfsonar.ihep.ac.cn,throughput
41.5008345,2.1084649,psl01.pic.es,both
40.4259,-86.9081,perfsonar-cms1.itns.purdue.edu,latency
40.8695,-72.8868,lhcmon.bnl.gov,both
40.381912,49.810761,perfsonar.physics.science.az,neither
42.276546,-83.741401,psum02.aglt2.org,throughput
36.364801,127.359214,ps-gsdc02.sdfarm.kr,throughput
46.024379,8.960050,perfsonar01.lcg.cscs.ch,latency
52.2000,0.1167,serv04.hep.phy.cam.ac.uk,both
43.1479,12.1097,ps-02.lnl.infn.it,both
40.425,-86.917,perfsonar-cms2.itns.purdue.edu,throughput
36.1473,-86.7770,perfsonar-owamp.accre.vanderbilt.edu,latency
35.7137,139.7631,perfsonar1.icepp.jp,both
25.0411,121.6166,lhc-bandwidth.twgrid.org,throughput
53.4167,-3.000,hepsonar1.ph.liv.ac.uk,throughput
43.1479,12.1097,perfsonar-ow.cnaf.infn.it,both
51.525269,0.134406,lcg-sonar01.hep.ucl.ac.uk,both
45.9215,6.1605,lapp-ps02.in2p3.fr,latency
40.8695,-72.8868,lhcmon2.bnl.gov,neither
52.357060,4.950849,perfsonar-latency.grid.surfsara.nl,latency
25.0411,121.6166,lhc-latency.twgrid.org,latency
52.407287,16.953767,psmall-poz1.man.poznan.pl,neither
48.4267,-123.3655,ps-latency.hepnetcanada.ca,latency
48.73,21.24,perfsonar02-iep-grid.saske.sk,latency
42.276546,-83.741401,psum05.aglt2.org,latency
35.1835,-97.4405,ps2.ochep.ou.edu,throughput
40.5460,-3.6935,perfsonar01.ft.uam.es,latency
39.9289,116.3883,perfsonar2.ihep.ac.cn,latency
41.789889,-87.600453,uct2-net4.mwt2.org,throughput
48.1500,17.1167,lcgperfsonar.dnp.fmph.uniba.sk,throughput
29.6516,-82.3248,perfsonar1.ihepa.ufl.edu,latency
-33.034935,-71.597129,psb.hpc.utfsm.cl,throughput
43.1479,12.1097,psfrascati01.lnf.infn.it,throughput
46.0419302,14.4872183,tau.ijs.si,both
53.380890,-1.486120,lcgperf.shef.ac.uk,neither
40.812957,-96.702991,hcc-ps02.unl.edu,both
47.487843,18.955267,psbud01.kfki.hu,latency
41.789889,-87.600453,uct2-net3.mwt2.org,latency
51.523183,-0.622395,ps-slough-10g.ja.net,neither
48.6056,7.7095,sbgperfps2.in2p3.fr,both
51.575,-1.31,lcgps01.gridpp.rl.ac.uk,both
40.381912,49.810761,perfsonar2.physics.science.az,neither
40.45464,-3.72771,perfbw.ciemat.es,throughput
41.5008345,2.1084649,psb-ifae.pic.es,neither
42.597763,-70.983219,PERFSONAR01.CMSAF.MIT.EDU,both
55.8301,-4.2529,ps001.gla.scotgrid.ac.uk,throughput
46.2324045,6.0457234,psl01-gva.cern.ch,latency
62,15,perfsonar-ps2.ndgf.org,throughput
46.7667,23.6000,sonar1.itim-cj.ro,throughput
51.523183,-0.622395,ps-slough-1g.ja.net,neither
34.8474,-82.7101,slate003.clemson.edu,neither
32.8807,-117.2359,perfsonar-1.t2.ucsd.edu,throughput
44.6609,-74.9258,perfsonar2.clarkson.edu,neither
45.7667,4.8833,clrperf-owamp.in2p3.fr,latency
15.0555,102.2148,perfsonar-alice.sut.ac.th,both
39.882613,-86.15712,iut2-net6.iu.edu,throughput
43.1479,12.1097,perfsonar2.roma1.infn.it,both
53.577355,9.877352,perfsonar-ps-03.desy.de,both
50.1242989,14.4685564,ps01-l.farm.particle.cz,both
40.107487,-88.23,mwt2-ps03.campuscluster.illinois.edu,both
43.1479,12.1097,cmsrm-perfsonar1.roma1.infn.it,throughput
41.5008345,2.1084649,psb01.pic.es,both
48.189124,16.402556,perfsonar-2.grid.vbc.ac.at,neither
41.5008345,2.1084649,psl-ifae.pic.es,neither
39.882613,-86.15712,iut2-net4.iu.edu,throughput
40.107487,-88.23,mwt2-ps04.campuscluster.illinois.edu,throughput
-23.52433,-46.665278,perfsonar-bw.sprace.org.br,both
40.343365,-74.658938,perfsonar-ns.princeton.edu,neither
40.271269,-74.778403,perfsonar-dmz.hpc.tcnj.edu,neither
49.2788,-122.9204,lcg-bw.sfu.computecanada.ca,throughput
-37.8,144.96,ps-bandwidth.atlas.unimelb.edu.au,throughput
50.8333,4.3333,ps01.iihe.ac.be,latency
51.7500,-1.2500,t2ps-latency.physics.ox.ac.uk,latency
46.2324045,6.0457234,pse01-gva-100g.cern.ch,neither
39.882613,-86.15712,iut2-net3.iu.edu,latency
40.107487,-88.23,mwt2-ps01.campuscluster.illinois.edu,latency
43.1479,12.1097,perfsonar-ps.cnaf.infn.it,both
45.7833,3.0833,clrperf-bwctl.in2p3.fr,throughput
-37.8,144.96,ps-latency.atlas.unimelb.edu.au,latency
47.2818,-1.5215,nanperfs02.in2p3.fr,both
37.4214,-122.2043,psnr-farm10.slac.stanford.edu,both
39.882613,-86.15712,iut2-net8.iu.edu,throughput
32.8807,-117.2359,perfsonar-2.t2.ucsd.edu,latency
43.1479,12.1097,perfsonar2.na.infn.it,latency
37.9017,-122.2615,nettest.lbl.gov,both
35.1835,-97.4405,ps1.ochep.ou.edu,both
46.024379,8.960050,perfsonar02.lcg.cscs.ch,throughput
54.7667,-1.5667,perfsonar.dur.scotgrid.ac.uk,both
55.796817,37.477491,btw-bw.t1.grid.kiae.ru,throughput
32.7767,35.0253,tech-ps.hep.technion.ac.il,both
51.7500,-1.2500,t2ps-bandwidth2.physics.ox.ac.uk,throughput
52.34475,13.63271,perfson1.zeuthen.desy.de,both
42.597763,-70.983219,PERFSONAR02.CMSAF.MIT.EDU,both
55.8301,-4.2529,ps002.gla.scotgrid.ac.uk,latency
55.9500,-3.2000,gridpp-ps-lat.ecdf.ed.ac.uk,both
29.6516,-82.3248,perfsonar2.ihepa.ufl.edu,throughput
51.57,-1.31,hep-ps-lt-bp.pp.rl.ac.uk,latency
50.087361111,36.250138889,ps2.kipt.kharkov.ua,throughput
42.276546,-83.741401,psum06.aglt2.org,throughput
40.45464,-3.72771,perflat.ciemat.es,latency
43.6629,-79.3987,bdw.scinet.utoronto.ca,neither
56.7333,37.1667,t1-pfsn1.jinr-t1.ru,throughput
49.1646,-122.5428,ps-latency.lhcmon.triumf.ca,latency
0.3158741,32.5826811,pfs-stat-irt.renu.ac.ug,neither
53.4167,-3.000,hepsonar2.ph.liv.ac.uk,latency
39.882613,-86.15712,iut2-net5.iu.edu,latency
42.3451,-71.0993,atlas-npt1.bu.edu,both
39.8766,32.7620,ps.truba.gov.tr,latency
43.0731,-89.4012,perfsonar02.hep.wisc.edu,throughput
46.2324045,6.0457234,pse01-gva.cern.ch,neither
45.7826,4.8653,ccperfsonar1.in2p3.fr,both
52.4667,-1.9167,epgperf.ph.bham.ac.uk,both
36.1473,-86.7770,perfsonar-bwctl.accre.vanderbilt.edu,both
39.882613,-86.15712,iut2-net2.iu.edu,throughput
41.810,-72.256,ps-hpc-management.net.uconn.edu,neither
48.4267,-123.3655,ps-bandwidth.hepnetcanada.ca,throughput
46.2324045,6.0457234,psb01-gva-100g.cern.ch,throughput
32.7714,-97.2915,psuta02.atlas-swt2.org,throughput
48.721490,2.148822,perfsonar02.datagrid.cea.fr,both
40.812957,-96.702991,hcc-ps01.unl.edu,both
48.6056,7.7095,sbgperfps1.in2p3.fr,both
50.865901,-0.087265,grid-perfsonar.hpc.susx.ac.uk,both
53.577355,9.877352,perfsonar-ps-01.desy.de,latency
48.8484,2.3561,lpnhe-psb.in2p3.fr,throughput
55.796817,37.477491,btw-bw.grid.kiae.ru,throughput
48.8484,2.3561,lpnhe-psl.in2p3.fr,latency
60.1915,24.8993,pship01.csc.fi,latency
50.087361111,36.250138889,ps1.kipt.kharkov.ua,latency
51.57,-1.31,hep-ps-bw-bp.pp.rl.ac.uk,both
41.8415,-88.254669,psonar3.fnal.gov,both
60.1915,24.8993,pship02.csc.fi,throughput
49.096224,8.43226,perfsonar-de-kit.gridka.de,both
40.107487,-88.23,mwt2-ps02.campuscluster.illinois.edu,throughput
43.0731,-89.4012,perfsonar01.hep.wisc.edu,both
55.796817,37.477491,btw-lat.t1.grid.kiae.ru,latency
59.597948,30.110956,perfsonar.pnpi.nw.ru,both
45.7826,4.8653,ccperfsonar2.in2p3.fr,both
39.882613,-86.15712,iut2-net7.iu.edu,latency
41.2473934,-96.017804,hcc-pki-ps01.unl.edu,neither
36.148,140.0749,perfsonar2.cc.kek.jp,latency
42.9976,-81.2563,lcg-pslat.uw.computecanada.ca,latency
-33.034935,-71.597129,psl.hpc.utfsm.cl,latency
40.821864,-96.697655,perfsonar.unl.edu,both
52.34475,13.63271,perfson2.zeuthen.desy.de,throughput
44.4333,26.1000,perfsonar-latency.grid.pub.ro,latency
45.20,5.69,lpsc-perfsonar.in2p3.fr,throughput
41.789889,-87.600453,uct2-net1.mwt2.org,latency
51.575,-1.31,lcgps02.gridpp.rl.ac.uk,both
36.148,140.0749,perfsonar1.cc.kek.jp,throughput
43.1479,12.1097,perfsonar.na.infn.it,throughput
52.124321,21.3364858,psonar.cis.gov.pl,both
50.1242989,14.4685564,ps02-b.farm.particle.cz,throughput
35.7137,139.7631,perfsonar2.icepp.jp,throughput
33.6957,73.0113,ps.ncp.edu.pk,throughput
42.3451,-71.0993,atlas-owamp.bu.edu,neither
51.575726,-1.314601,heplnx130.pp.rl.ac.uk,throughput
35.1835,-97.4405,ps3.ochep.ou.edu,latency
52.357060,4.950849,perfsonar-bandwidth.grid.surfsara.nl,throughput
50.8333,4.3333,ps02.iihe.ac.be,throughput
51.575726,-1.314601,heplnx129.pp.rl.ac.uk,latency
37.7510,-97.8220,perfsonar2.ultralight.org,both
48.1500,17.1167,lcgperfradar.dnp.fmph.uniba.sk,latency
55.7386,37.6068,ps0001.m45.ihep.su,throughput
47.487843,18.955267,psbud02.kfki.hu,throughput
-22.9000,-43.2333,ps01.cat.cbpf.br,both
37.5,15.152,perfsonar-b.ct.infn.it,throughput
47.2818,-1.5215,nanperfs01.in2p3.fr,both
40.8695,-72.8868,lhcperfmon.bnl.gov,latency
45.7655,4.8755,llrpsonar2.in2p3.fr,both
48.73,21.24,perfsonar01-iep-grid.saske.sk,throughput
36.148,140.0749,perfsonar3.cc.kek.jp,both
41.8415,-88.254669,psonar7.fnal.gov,neither
45.7655,4.8755,llrpsonar1.in2p3.fr,both
42.2780,-83.7382,sl-um-ps01.slateci.io,neither
44.35,26.03,perfsonar2.nipne.ro,both
39.882613,-86.15712,iut2-net1.iu.edu,latency
46.2324045,6.0457234,psb01-gva.cern.ch,throughput
42.3451,-71.0993,atlas-bwctl.bu.edu,neither
-23.561566,-46.7353522,sampaps02.if.usp.br,both
45.4773,9.1815,perfsonar2.mi.infn.it,throughput
42.877474,-8.558310,perfsonar-ps-latency.igfae.usc.es,latency
43.231,5.441,marperf01.in2p3.fr,throughput
46.7667,23.6000,sonar2.itim-cj.ro,latency
49.0047,8.3858,perfsonar-test-v1683-portal.gridka.de,neither
49.1646,-122.5428,ps-bandwidth.lhcmon.triumf.ca,throughput
56.7333,37.1667,t2-pfsn2.jinr.ru,both
41.789889,-87.600453,uct2-net2.mwt2.org,throughput
45.7667,4.8833,psonar2.lal.in2p3.fr,both
43.1479,12.1097,ps-01.lnl.infn.it,both
-23.52433,-46.665278,perfsonar-lt.sprace.org.br,both
48.721490,2.148822,perfsonar01.datagrid.cea.fr,both
43.1479,12.1097,perfsonar1.roma1.infn.it,both
43.231,5.441,marperf02.in2p3.fr,latency
39.5149,-0.4255,psific02.ific.uv.es,throughput
53.577355,9.877352,perfsonar-ps-04.desy.de,throughput
56.7333,37.1667,t1-pfsn2.jinr-t1.ru,latency
41.8415,-88.254669,psonar4.fnal.gov,both
18.906717,72.805160,repos.indiacms.res.in,both
53.4167,-3.0000,hepsonar1.ph.liv.ac.uk,throughput
48.73,21.24,perfsonar03-iep-grid.saske.sk,neither
48.73,21.24,perfsonar04-iep-grid.saske.sk,neither
49.2788,-122.9204,lcg-lat.sfu.computecanada.ca,latency
